convention,scale,pool,dim,lam,attack,n_train,n_test,attack_budget,budget_mult,review_budget,policy,rep,n_flips,prevalence,score_auroc,recovered,precision,recall,precision_lift,remaining_poisoned_after_delete,test_logloss_no_action,test_logloss_after_delete,test_logloss_after_correct,test_logloss_clean_oracle,delete_minus_no_action,correct_minus_no_action
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,top,-1,27,0.14754098360655737,0.16832858499525166,0,0.0,0.0,-0.14754098360655737,27,0.6481511977901052,0.6513190992716545,0.6481511977901052,0.6654402369797218,0.003167901481549329,0.0
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,bottom_oracle_diagnostic,-1,27,0.14754098360655737,0.16832858499525166,3,0.21428571428571427,0.1111111111111111,0.0667447306791569,24,0.6481511977901052,0.6482241949939475,0.6473018281261004,0.6654402369797218,7.299720384223995e-05,-0.0008493696640048398
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,two_tailed,-1,27,0.14754098360655737,0.16832858499525166,2,0.14285714285714285,0.07407407407407407,-0.004683840749414525,25,0.6481511977901052,0.6491073629922263,0.6468349482455918,0.6654402369797218,0.0009561652021210509,-0.0013162495445133704
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,0,27,0.14754098360655737,0.16832858499525166,3,0.21428571428571427,0.1111111111111111,0.0667447306791569,24,0.6481511977901052,0.6475639815311937,0.6482769951840601,0.6654402369797218,-0.0005872162589115604,0.0001257973939549073
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,1,27,0.14754098360655737,0.16832858499525166,4,0.2857142857142857,0.14814814814814814,0.13817330210772832,23,0.6481511977901052,0.6481866016534038,0.6473485851769891,0.6654402369797218,3.540386329858869e-05,-0.0008026126131160938
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,2,27,0.14754098360655737,0.16832858499525166,2,0.14285714285714285,0.07407407407407407,-0.004683840749414525,25,0.6481511977901052,0.649115489292882,0.6484996878782486,0.6654402369797218,0.0009642915027767707,0.0003484900881434161
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,3,27,0.14754098360655737,0.16832858499525166,3,0.21428571428571427,0.1111111111111111,0.0667447306791569,24,0.6481511977901052,0.6488105585069878,0.6474251857626309,0.6654402369797218,0.000659360716882551,-0.0007260120274743542
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,4,27,0.14754098360655737,0.16832858499525166,0,0.0,0.0,-0.14754098360655737,27,0.6481511977901052,0.6486057695373886,0.6481511977901052,0.6654402369797218,0.00045457174728336103,0.0
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,5,27,0.14754098360655737,0.16832858499525166,2,0.14285714285714285,0.07407407407407407,-0.004683840749414525,25,0.6481511977901052,0.6470929760295573,0.6468845892230893,0.6654402369797218,-0.0010582217605479283,-0.001266608567015881
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,6,27,0.14754098360655737,0.16832858499525166,3,0.21428571428571427,0.1111111111111111,0.0667447306791569,24,0.6481511977901052,0.6476052149169294,0.646078359978526,0.6654402369797218,-0.0005459828731758654,-0.002072837811579187
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,7,27,0.14754098360655737,0.16832858499525166,2,0.14285714285714285,0.07407407407407407,-0.004683840749414525,25,0.6481511977901052,0.6491749216418213,0.6467191885002365,0.6654402369797218,0.0010237238517161185,-0.001432009289868752
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,8,27,0.14754098360655737,0.16832858499525166,3,0.21428571428571427,0.1111111111111111,0.0667447306791569,24,0.6481511977901052,0.6506044299688039,0.6486429769200525,0.6654402369797218,0.002453232178698639,0.0004917791299472452
cat,n300,0,384,0.001,directional,183,2058,27,0.5,14,random,9,27,0.14754098360655737,0.16832858499525166,4,0.2857142857142857,0.14814814814814814,0.13817330210772832,23,0.6481511977901052,0.649620597655836,0.6474458691690155,0.6654402369797218,0.0014693998657308027,-0.0007053286210897403
cat,n300,0,384,0.001,directional,183,2058,27,1.0,27,top,-1,27,0.14754098360655737,0.16832858499525166,0,0.0,0.0,-0.14754098360655737,27,0.6481511977901052,0.6546182495401954,0.6481511977901052,0.6654402369797218,0.006467051750090214,0.0
cat,n300,0,384,0.001,directional,183,2058,27,1.0,27,bottom_oracle_diagnostic,-1,27,0.14754098360655737,0.16832858499525166,9,0.3333333333333333,0.3333333333333333,0.18579234972677594,18,0.6481511977901052,0.6483603621825276,0.6480389543571738,0.6654402369797218,0.0002091643924223563,-0.00011224343293136929
cat,n300,0,384,0.001,directional,183,2058,27,1.0,27,two_tailed,-1,27,0.14754098360655737,0.16832858499525166,3,0.1111111111111111,0.1111111111111111,-0.03642987249544627,24,0.6481511977901052,0.6508160677166419,0.6473018281261004,0.6654402369797218,0.002664869926536695,-0.0008493696640048398
cat,n300,0,384,0.001,directional,183,2058,27,1.0,27,random,0,27,0.14754098360655737,0.16832858499525166,2,0.07407407407407407,0.07407407407407407,-0.0734669095324833,25,0.6481511977901052,0.6480400324874314,0.6468039764191869,0.6654402369797218,-0.0001111653026738546,-0.0013472213709183611
cat,n300,0,384,0.001,directional,183,2058,27,1.0,27,random,1,27,0.14754098360655737,0.16832858499525166,4,0.14814814814814814,0.14814814814814814,0.0006071645415907656,23,0.6481511977901052,0.6503274867100672,0.6495505191493999,0.6654402369797218,0.0021762889199620217,0.0013993213592946585
