convention,scale,dim,lam,n_train,n_over_d,clean_train_acc,clean_test_logloss,clean_test_acc,beats_log2,n_pools_below_log2,oracle_cleanhead_auroc,oracle_cleanhead_auroc_sd,n_pools_cleanhead_above_half,refit_auroc,refit_auroc_sd,n_pools_refit_below_half,inverted_separation,marg_excess_reversed,frac_reversed_positive,hessian_cond
cat,n300,384,0.001,183.4,0.4776041666666667,0.8419194363903157,0.6703587619914406,0.5773566569484936,True,5,0.9249881397428567,0.07143435425445513,5,0.14972330464783293,0.05428191787211828,5,0.8502766953521672,0.7274812583789834,1.0,3.395514616036132
cat,n1000,384,0.001,615.0,1.6015625,0.7201476281411366,0.6480243533147828,0.615840621963071,True,5,0.8088526700651621,0.2509047735924344,5,0.13501210207034348,0.1396528860836196,5,0.8649878979296565,0.6636258360985675,1.0,2.951126435202522
cat,n3000,384,0.001,1849.2,4.815625,0.6592739119107882,0.6478742030589235,0.6185617103984451,True,5,0.5971354385624879,0.353784759041196,2,0.1524057869001624,0.11279130716485637,5,0.8475942130998376,0.6372768372920514,1.0,2.9115679360511075
resp,n300,384,0.001,210.0,0.546875,0.9542857142857144,0.7349417956263752,0.5597789115646259,False,0,0.9940890250495584,0.006340054200765462,5,0.21546224544963052,0.07776124726197688,5,0.7845377545503694,0.8796728403175106,1.0,8.891965633301167
resp,n1000,384,0.001,699.2,1.8208333333333333,0.7794610884972802,0.6736586963687224,0.5886054421768708,True,5,0.9343073050510025,0.08987066764432657,5,0.15868093220194052,0.07576805437860284,5,0.8413190677980594,1.063181342200997,0.9904761904761905,8.706071817869287
resp,n3000,384,0.001,2098.2,5.4640625,0.6911625895487112,0.6521665039689821,0.6061224489795918,True,5,0.7757099519260087,0.2559922054794347,4,0.1449973989100931,0.08325622977689923,5,0.8550026010899069,1.0602673874106816,0.9949044585987261,8.338019955599947
