convention,scale,dim,lam,n_train_mean,n_over_d_mean,fm_cleanhead_auroc_mean,fm_cleanhead_auroc_sd,fm_refit_auroc_mean,fm_refit_auroc_sd,auroc_diff_mean,si_refit_auroc_mean,n_pools_crossing,n_pools,clean_test_logloss_mean,clean_test_acc_mean,beats_log2,marg_excess_reversed_mean,inverted_separation_mean,verdict
cat,n1000,32,0.001,615.0,19.21875,0.7426489995141454,0.3285477825421834,0.1325148648758954,0.14269147568671836,0.6101341346382501,0.5987597715504956,3,5,0.6488671300789112,0.6138969873663751,True,0.6761032644780725,0.8674851351241045,inconclusive
cat,n300,128,0.001,183.4,1.4328125,0.9155205123318331,0.07864535996251422,0.15011029036186269,0.054010767059517656,0.7654102219699704,0.45471217229078864,5,5,0.6702960328094582,0.5773566569484936,True,0.7345834823807544,0.8498897096381374,reproduced
cat,n3000,32,0.0001,1849.2,57.7875,0.5815985609789376,0.35757321746204423,0.1585794904927231,0.10760266067518512,0.42301907048621457,0.3618831139451527,2,5,0.6433765624460988,0.6161321671525753,True,1.229077844564896,0.8414205095072769,failed to reproduce
resp,n1000,32,0.001,699.2,21.85,0.8503346070362877,0.20266054173045359,0.11780912877971698,0.07907778559483085,0.7325254782565708,0.27508640223766273,4,5,0.6587337240821902,0.6,True,1.1420560826118649,0.8821908712202828,reproduced
resp,n300,64,0.01,210.0,3.28125,0.7836727338259146,0.18113104425183316,0.16958010452333755,0.0983521996567296,0.6140926293025771,0.46256983240223465,5,5,0.6703308263064491,0.5784013605442178,True,0.5028271303915206,0.8304198954766624,reproduced
resp,n3000,32,0.001,2098.2,65.56875,0.7008506864445733,0.35010399562949923,0.12106823847717581,0.0964036512690467,0.5797824479673974,0.25075117197325497,3,5,0.6526496731719235,0.6076530612244897,True,1.0948353664878865,0.8789317615228243,inconclusive
