convention,scale,pool,dim,lam,attack,alpha,budget,arm,rep,n_train,n_kept,n_deleted,n_test,remaining_poisoned,test_logloss,test_acc,kl_from_clean,mean_abs_pred_div,theta_dist_from_clean,rank_agree_with_clean,uninf_loss,loc_auroc,loc_auprc,loc_prec_at_b,loc_recall_at_b,loc_prec_lift,loc_n_tied_at_cut,loc_n_hits_at_b
cat,n300,0,384,0.001,margin_targeted,1.0,27,none,-1,183,183,0,2058,27,0.6625763839270999,0.5821185617103984,0.004239424972707444,0.03279753645984372,5.871900527661817,0.903606827607988,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,detector,-1,183,156,27,2058,21,0.6627758078320287,0.5908649173955296,0.012966298390387604,0.055249441390824314,8.229109440247809,0.8596965858149991,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,margin_matched,-1,183,156,27,2058,27,0.6592650114140871,0.5942662779397473,0.007062118754100635,0.04163366456052948,7.408680362954311,0.8744811880874377,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,oracle_delete,-1,183,156,27,2058,0,0.6635297511997217,0.5840621963070942,0.002261517047535455,0.023820863589624774,3.981972527205357,0.9588798619220449,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,oracle_correct,-1,183,183,0,2058,0,0.6654402369797218,0.5845481049562682,0.0,0.0,0.0,1.0,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,matched_clean,-1,183,156,27,2058,0,0.6625086073180421,0.598153547133139,0.004195341485874436,0.031819370482553316,4.670517936737064,0.9439150320171544,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,0,183,156,27,2058,23,0.6614856808481475,0.5962099125364432,0.0050922121065409545,0.03537265362380438,6.774993509881552,0.8798697190916632,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,1,183,156,27,2058,24,0.6711738532640483,0.5709426627793974,0.006223355302357382,0.039955077172502025,7.531285671895811,0.8474516442138301,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,2,183,156,27,2058,25,0.6629534252463308,0.5962099125364432,0.005461172235949843,0.03714145970655195,7.358469473105573,0.8669536766462145,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,3,183,156,27,2058,24,0.6632051079426197,0.5884353741496599,0.006988233082661671,0.041748447106113876,7.451127905673255,0.8603667807783204,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,4,183,156,27,2058,19,0.663985954008832,0.5932944606413995,0.00492186824221657,0.034799562235735576,6.344531426931792,0.8914607082576994,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,5,183,156,27,2058,24,0.6691117633679431,0.5821185617103984,0.0048335393454624126,0.03482926614118068,6.986960698689948,0.8674576823785026,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,6,183,156,27,2058,25,0.6661226227650725,0.586977648202138,0.004356017701750115,0.033127536564932836,6.640082434935307,0.8882082596974356,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,7,183,156,27,2058,21,0.6651888070999494,0.586977648202138,0.006828023709948204,0.04078734907928101,6.999954102304231,0.8764488455090644,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,8,183,156,27,2058,22,0.6668216239796757,0.5913508260447036,0.005796389957948175,0.03792632175666332,7.041640336629352,0.8833998697275723,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
cat,n300,0,384,0.001,margin_targeted,1.0,27,random,9,183,156,27,2058,23,0.6640688327694728,0.5913508260447036,0.006572805778236357,0.04000129010560578,7.046995897435215,0.8824513559185918,0.6931471805599453,0.6346153846153846,0.19924694429131684,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6
