convention,scale,pool,dim,lam,n_train,n_dev,n_test,n_zero_train,n_zero_test,budget,prevalence,n_over_d,clean_train_logloss,clean_dev_logloss,clean_test_logloss,clean_train_acc,clean_dev_acc,clean_test_acc,clean_theta_norm,clean_hessian_cond,clean_grad_norm,pois_test_logloss,pois_test_acc,pois_theta_norm,pois_grad_norm,theta_dist,theta_cos,uninf_loss,clean_beats_uninf_test,fm_cleanhead_auroc,fm_cleanhead_auprc,fm_cleanhead_prec_at_b,fm_cleanhead_recall_at_b,fm_cleanhead_prec_lift,fm_cleanhead_n_tied_at_cut,fm_cleanhead_n_hits_at_b,si_cleanhead_auroc,si_cleanhead_auprc,si_cleanhead_prec_at_b,si_cleanhead_recall_at_b,si_cleanhead_prec_lift,si_cleanhead_n_tied_at_cut,si_cleanhead_n_hits_at_b,fm_refit_auroc,fm_refit_auprc,fm_refit_prec_at_b,fm_refit_recall_at_b,fm_refit_prec_lift,fm_refit_n_tied_at_cut,fm_refit_n_hits_at_b,si_refit_auroc,si_refit_auprc,si_refit_prec_at_b,si_refit_recall_at_b,si_refit_prec_lift,si_refit_n_tied_at_cut,si_refit_n_hits_at_b,refit_marg_mean_reversed,refit_marg_mean_retained,refit_marg_excess_reversed,refit_frac_reversed_positive,cleanhead_marg_mean_reversed,cleanhead_marg_mean_retained,cleanhead_marg_excess_reversed,cleanhead_frac_reversed_positive,inverted_separation_fm_refit
cat,n300,0,32,1e-06,183,79,2058,38,296,27,0.14754098360655737,5.71875,0.5322019227499937,0.7311347509704442,0.7815612776410628,0.7049180327868853,0.5822784810126582,0.5626822157434402,41.132836101529,21.92103536742951,3.316168514293596e-09,1.0331485844653447,0.6000971817298348,63.84197937465436,8.086039087972056e-10,47.9469908065618,0.6604707535317624,0.6931471805599453,False,0.7490503323836657,0.5352735792018973,0.5185185185185185,0.5185185185185185,0.3709775349119611,1,14,0.7894112060778727,0.5951984417110401,0.48148148148148145,0.48148148148148145,0.3339404978749241,1,13,0.2580721747388414,0.0989876920051616,0.0,0.0,-0.14754098360655737,1,0,0.34449192782526117,0.10950784094008346,0.037037037037037035,0.037037037037037035,-0.11050394656952034,1,1,3.9900865794999216,2.3494906306184804,1.6405959488814412,1.0,-1.2434828051321674,1.0250616862322648,-2.268544491364432,0.4444444444444444,0.7419278252611585
cat,n300,0,32,1e-05,183,79,2058,38,296,27,0.14754098360655737,5.71875,0.5330600659558153,0.7115213137146954,0.7582457783028046,0.6994535519125683,0.5949367088607594,0.5626822157434402,36.850058104843654,17.549104008067562,5.585104768439899e-10,0.9275099329630906,0.6020408163265306,52.024028590738176,1.5750835360459525e-09,39.07689290818227,0.6617907324041391,0.6931471805599453,False,0.74667616334283,0.5455151818094865,0.5185185185185185,0.5185185185185185,0.3709775349119611,1,14,0.785375118708452,0.5861587850448814,0.48148148148148145,0.48148148148148145,0.3339404978749241,1,13,0.24548907882241217,0.09794624583770518,0.0,0.0,-0.14754098360655737,1,0,0.34591642924976257,0.10934685464846726,0.037037037037037035,0.037037037037037035,-0.11050394656952034,1,1,3.523618457742402,1.9772452924076636,1.5463731653347386,1.0,-1.1067044920600355,0.9346472372922217,-2.0413517293522574,0.4444444444444444,0.7545109211775878
cat,n300,0,32,0.0001,183,79,2058,38,296,27,0.14754098360655737,5.71875,0.550437789899799,0.6587420693246695,0.6921089569707138,0.7049180327868853,0.6075949367088608,0.5748299319727891,21.878319216060408,7.454278113740854,1.2955959315746856e-09,0.7362295343279558,0.6073858114674441,27.628377903140137,4.808452996646697e-10,21.9519665121407,0.6287398471868522,0.6931471805599453,True,0.724596391263058,0.5344591240970006,0.5185185185185185,0.5185185185185185,0.3709775349119611,1,14,0.7773029439696106,0.5644459235028171,0.4444444444444444,0.4444444444444444,0.29690346083788705,1,12,0.1932573599240266,0.0931045584366778,0.0,0.0,-0.14754098360655737,1,0,0.38271604938271603,0.11794836395472955,0.0,0.0,-0.14754098360655737,1,0,2.4296950478435853,1.1405104133419453,1.28918463450164,1.0,-0.6131335992549481,0.6060323742843783,-1.2191659735393263,0.4444444444444444,0.8067426400759734
cat,n300,0,32,0.001,183,79,2058,38,296,27,0.14754098360655737,5.71875,0.6112751038624776,0.6527867542427772,0.6674912485192689,0.7158469945355191,0.620253164556962,0.5816326530612245,7.445608244304506,2.438143460683916,3.5246672797839657e-10,0.6479115922446997,0.608843537414966,10.038698825521298,8.564289691746689e-11,8.806451668163898,0.5261876208100726,0.6931471805599453,True,0.6818613485280152,0.4917860941239458,0.4444444444444444,0.4444444444444444,0.29690346083788705,1,12,0.7440645773979108,0.5193692478510378,0.4074074074074074,0.4074074074074074,0.25986642380085,1,11,0.1590693257359924,0.09038621193198246,0.0,0.0,-0.14754098360655737,1,0,0.5498575498575499,0.17394905383583043,0.2222222222222222,0.2222222222222222,0.07468123861566484,1,6,1.143564868118629,0.4340490107079073,0.7095158574107217,1.0,-0.15137056262376478,0.2371699812391963,-0.3885405438629611,0.4444444444444444,0.8409306742640076
cat,n300,0,32,0.01,183,79,2058,38,296,27,0.14754098360655737,5.71875,0.6732675697840094,0.6806205555199597,0.6840031611733933,0.6885245901639344,0.6582278481012658,0.5966958211856171,1.361586672722257,1.2148900981427884,5.046336027747557e-12,0.6695802762750438,0.6141885325558795,2.2073788380722377,1.4356848477005183e-10,1.827161657709756,0.563612957323868,0.6931471805599453,True,0.6184710351377019,0.3744737866392536,0.3333333333333333,0.3333333333333333,0.18579234972677594,1,9,0.7340930674264008,0.418741971160035,0.37037037037037035,0.37037037037037035,0.22282938676381298,1,10,0.14767331433998102,0.08965040111700823,0.0,0.0,-0.14754098360655737,1,0,0.7034662867996201,0.34739904128879034,0.2962962962962963,0.2962962962962963,0.1487553126897389,1,8,0.26971289534504295,0.09545501875234468,0.17425787659269826,1.0,-0.003485635233451833,0.04920611514976871,-0.05269175038322055,0.5555555555555556,0.852326685660019
cat,n300,0,32,0.1,183,79,2058,38,296,27,0.14754098360655737,5.71875,0.6907612614953609,0.6915514867419226,0.6919589294846128,0.6721311475409836,0.6835443037974683,0.6015549076773566,0.15386814704785215,1.0227176103767583,2.844854668416247e-11,0.6897697313612559,0.6122448979591837,0.26795603043662203,5.5440289214651555e-12,0.21623472070949978,0.5908138143917274,0.6931471805599453,True,0.5892687559354226,0.34779631363010216,0.3333333333333333,0.3333333333333333,0.18579234972677594,1,9,0.7274453941120608,0.31031635713070205,0.37037037037037035,0.37037037037037035,0.22282938676381298,1,10,0.14577397910731243,0.0895486633722005,0.0,0.0,-0.14754098360655737,1,0,0.7241215574548908,0.30510616276674735,0.37037037037037035,0.37037037037037035,0.22282938676381298,1,10,0.0329999285746255,0.011562798502348839,0.02143713007227666,1.0,0.0006077431600614449,0.00574604265279413,-0.005138299492732685,0.6296296296296297,0.8542260208926875
cat,n300,0,32,1.0,183,79,2058,38,296,27,0.14754098360655737,5.71875,0.6929035747054018,0.6929831342293388,0.6930247553167239,0.6612021857923497,0.6835443037974683,0.6025267249757046,0.015601779781826036,1.0022814870150116,2.5865885186756804e-09,0.6927950486352801,0.6122448979591837,0.02740820295915735,1.1894122051744834e-12,0.022053367602221124,0.5943103293246004,0.6931471805599453,True,0.585707502374169,0.34345384239523397,0.3333333333333333,0.3333333333333333,0.18579234972677594,1,9,0.7272079772079773,0.30435326325696743,0.37037037037037035,0.37037037037037035,0.22282938676381298,1,10,0.1452991452991453,0.08952708001728381,0.0,0.0,-0.14754098360655737,1,0,0.7267331433998101,0.30416926496899355,0.37037037037037035,0.37037037037037035,0.22282938676381298,1,10,0.003377918486334241,0.0011823118518282417,0.002195606634505999,1.0,7.42116699308135e-05,0.0005848276657281222,-0.0005106159957973086,0.6296296296296297,0.8547008547008547
cat,n300,0,64,1e-06,183,79,2058,38,296,27,0.14754098360655737,2.859375,0.37921541198218767,0.865224684114927,1.178288219611223,0.819672131147541,0.6329113924050633,0.5524781341107872,108.289399020719,121.65234206243035,1.193674952299981e-09,1.6003757174962854,0.575801749271137,142.09242928350608,2.163173220904006e-09,118.2826313683409,0.5825031071984392,0.6931471805599453,False,0.9135802469135802,0.786797132610337,0.7037037037037037,0.7037037037037037,0.5561627200971464,1,19,0.9264007597340931,0.8601779340008151,0.7407407407407407,0.7407407407407407,0.5931997571341834,1,20,0.31552706552706555,0.1049346706400902,0.0,0.0,-0.14754098360655737,1,0,0.34710351377018045,0.10940609128136296,0.0,0.0,-0.14754098360655737,1,0,7.366944900880812,4.528522558344901,2.838422342535911,1.0,-3.6910553020782775,2.488111034807656,-6.179166336885933,0.1111111111111111,0.6844729344729344
cat,n300,0,64,1e-05,183,79,2058,38,296,27,0.14754098360655737,2.859375,0.39283331974461194,0.7353986012791934,0.9262808760392915,0.8142076502732241,0.6075949367088608,0.5626822157434402,69.431560380155,42.80193661135879,1.0116264771725215e-09,1.0551610545946855,0.5903790087463557,74.24008528211978,6.368366348267186e-10,60.52480217159377,0.6469050691880472,0.6931471805599453,False,0.9040835707502374,0.7772827568707924,0.6296296296296297,0.6296296296296297,0.4820886460230723,1,17,0.9171415004748338,0.8398755253543034,0.7407407407407407,0.7407407407407407,0.5931997571341834,1,20,0.28300094966761635,0.10134170805562358,0.0,0.0,-0.14754098360655737,1,0,0.3402184235517569,0.10826036295509675,0.0,0.0,-0.14754098360655737,1,0,4.5030376961632,2.7176277071698336,1.7854099889933663,1.0,-2.392164544875888,1.7693896808455667,-4.161554225721455,0.14814814814814814,0.7169990503323836
cat,n300,0,64,0.0001,183,79,2058,38,296,27,0.14754098360655737,2.859375,0.4532038577024334,0.6193457930889378,0.7147299573276267,0.7759562841530054,0.6835443037974683,0.5680272108843537,31.10440212832351,9.54220431531487,1.1351979515379355e-09,0.7524161908335294,0.6030126336248786,32.21171387922073,1.2782633332640285e-09,26.59342697002045,0.6476864823319656,0.6931471805599453,False,0.8751187084520418,0.7183626260598521,0.5925925925925926,0.5925925925925926,0.4450516089860352,1,16,0.8767806267806267,0.7317040332909885,0.5925925925925926,0.5925925925925926,0.4450516089860352,1,16,0.23171889838556506,0.09660259757897045,0.0,0.0,-0.14754098360655737,1,0,0.37464387464387466,0.11394824473007627,0.0,0.0,-0.14754098360655737,1,0,2.536181956865325,1.3421660110204456,1.1940159458448796,1.0,-1.0717622403704827,0.9063828962420035,-1.9781451366124863,0.2222222222222222,0.768281101614435
cat,n300,0,64,0.001,183,79,2058,38,296,27,0.14754098360655737,2.859375,0.5733650569400547,0.6288243766887994,0.6643300081236357,0.7377049180327869,0.6835443037974683,0.5884353741496599,9.357664423816729,2.7366418397697307,2.034427263305813e-10,0.6489912883219563,0.608843537414966,10.817952156859684,5.316891322900743e-10,9.583544214661467,0.5568941984569921,0.6931471805599453,True,0.7941595441595442,0.6239287770165015,0.5185185185185185,0.5185185185185185,0.3709775349119611,1,14,0.7813390313390314,0.5994822343656779,0.5185185185185185,0.5185185185185185,0.3709775349119611,1,14,0.18209876543209877,0.09185875097196776,0.0,0.0,-0.14754098360655737,1,0,0.5306267806267806,0.15383426036740494,0.07407407407407407,0.07407407407407407,-0.0734669095324833,1,2,1.1410541072657236,0.48598081860822073,0.6550732886575029,1.0,-0.2850324151733008,0.3154459131978638,-0.6004783283711645,0.37037037037037035,0.8179012345679012
