convention,scale,arm,n_pools,remaining_poisoned,test_logloss,test_acc,kl_from_clean,theta_dist_from_clean,rank_agree_with_clean,improve_vs_none,ci_lo,ci_hi,n_pools_improved,beats_none,loc_auroc,loc_prec_at_b
cat,n1000,detector,5,92.0,0.6510011926737974,0.6151603498542274,0.020606926860588258,7.224071368655156,0.9533539663232655,-0.003258291049367901,-0.0049539884957645166,-0.0017154881334410011,0,False,0.6478538394996057,0.0
cat,n1000,margin_matched,5,92.0,0.6512837418072607,0.6082604470359573,0.00215922811538452,4.703021109900464,0.9446170041280547,-0.003540840182831184,-0.004415715814225574,-0.00275343003565538,0,False,0.6478538394996057,0.0
cat,n1000,matched_clean,5,0.0,0.6477858051287495,0.616715257531584,0.01465475956596852,5.321429065658472,0.9739866356635011,-4.2903504319991014e-05,-0.0016600081767312203,0.0014633259276614075,3,False,0.6478538394996057,0.0
cat,n1000,none,5,92.0,0.6477429016244294,0.6145772594752187,0.0014433986798067198,3.786495896403668,0.9693885023161597,0.0,0.0,0.0,0,False,0.6478538394996057,0.0
cat,n1000,oracle_correct,5,0.0,0.6480243533147828,0.615840621963071,0.0,0.0,1.0,-0.0002814516903533182,-0.0009684559196286635,0.0004679437753180249,2,False,0.6478538394996057,0.0
cat,n1000,oracle_delete,5,0.0,0.6469599822375354,0.615840621963071,0.0007069328826303,2.3028088326946685,0.9899127355029174,0.0007829193868939876,0.00037190525676547017,0.0011939335170225052,5,True,0.6478538394996057,0.0
cat,n1000,random,5,78.53999999999999,0.6484373305776445,0.6122934888241011,0.002061567337095262,4.538095423308411,0.9570660592122658,-0.0006944289532151204,-0.0008428467810561946,-0.0005256006690012915,0,False,0.6478538394996057,0.0
cat,n300,detector,5,22.4,0.6659232171688105,0.5927113702623907,0.01026993932514884,6.76499787018677,0.8856763959353152,0.00361842295499899,0.0005360872503033853,0.006700758659694594,3,True,0.6201701133713713,0.17846967846967846
cat,n300,margin_matched,5,27.2,0.6678736233576912,0.5926141885325559,0.006850290032855019,6.474810262370575,0.8723500849599661,0.0016680167661182743,0.00032796031297368524,0.0030080732192628635,4,True,0.6201701133713713,0.17846967846967846
cat,n300,matched_clean,5,0.0,0.666621567235226,0.5928085519922254,0.0032154491502332195,3.663592579124134,0.959965270038443,0.0029200728885833806,0.0005148669483546753,0.005325278828812086,4,True,0.6201701133713713,0.17846967846967846
cat,n300,none,5,27.2,0.6695416401238095,0.5857142857142857,0.00337507544460504,5.0546229374225735,0.9128889643832518,0.0,0.0,0.0,0,False,0.6201701133713713,0.17846967846967846
cat,n300,oracle_correct,5,0.0,0.6721038625810475,0.5825072886297376,0.0,0.0,1.0,-0.002562222457238028,-0.0062442003251163,0.0023040896446522964,1,False,0.6201701133713713,0.17846967846967846
cat,n300,oracle_delete,5,0.0,0.6700580492272479,0.5850340136054422,0.00181282679288572,3.4331445168478893,0.9633403481721385,-0.0005164091034383977,-0.001790958163469969,0.0009007084026130708,2,False,0.6201701133713713,0.17846967846967846
cat,n300,random,5,22.9,0.6706969290828015,0.5856171039844509,0.00468157541463801,6.002738061348821,0.8838466042889476,-0.0011552889589921955,-0.00207062862143943,-0.0003532981269993796,1,False,0.6201701133713713,0.17846967846967846
cat,n3000,detector,5,276.8,0.661232196809914,0.6181729834791059,0.03284339464228738,9.561836217736538,0.9628922950445828,-0.01257840510827768,-0.04334505782749363,0.0037794407260878017,3,False,0.6428500500154051,0.0007246376811594201
cat,n3000,margin_matched,5,277.0,0.6553728785866071,0.6145772594752186,0.0039980623305603,5.36013363201498,0.9464855366960127,-0.006719086884970716,-0.008763382245495333,-0.003485006750741948,0,False,0.6428500500154051,0.0007246376811594201
cat,n3000,matched_clean,5,0.0,0.6559573643623624,0.6185617103984451,0.02541728588040526,7.464856884222774,0.9774866364334314,-0.007303572660726077,-0.02885088560283957,0.004202212466087207,4,False,0.6428500500154051,0.0007246376811594201
cat,n3000,none,5,277.0,0.6486537917016364,0.6182701652089407,0.00188649656616146,4.259026194768346,0.9747185147871875,0.0,0.0,0.0,0,False,0.6428500500154051,0.0007246376811594201
cat,n3000,oracle_correct,5,0.0,0.6481454945750547,0.6194363459669583,0.0,0.0,1.0,0.0005082971265816472,-0.0012773629624912575,0.0032699949810832464,2,False,0.6428500500154051,0.0007246376811594201
cat,n3000,oracle_delete,5,0.0,0.6475270752354587,0.6179786200194364,0.00081071607045642,2.6207299652342155,0.9908832669000324,0.0011267164661775465,0.0007707299251078937,0.0015723796398269708,5,True,0.6428500500154051,0.0007246376811594201
cat,n3000,random,5,234.48000000000002,0.6495282704170193,0.6178814382896015,0.002716710286779108,5.13236689208235,0.9642767514265451,-0.000874478715383109,-0.002560515975678057,4.964413062109596e-05,2,False,0.6428500500154051,0.0007246376811594201
resp,n1000,detector,5,103.0,0.669930677954532,0.6056972789115646,0.020584980463560717,3.597996750000386,0.922292211013026,-0.002892182267442611,-0.0290850940175567,0.011230216631935862,4,False,0.5995261422362262,0.01344322344322342
resp,n1000,margin_matched,5,104.4,0.671351970831912,0.5996598639455781,0.0063729242578331805,2.8293253903242075,0.9051058628025658,-0.004313475144822565,-0.006186730484032221,-0.0026159435775679587,0,False,0.5995261422362262,0.01344322344322342
resp,n1000,matched_clean,5,0.0,0.6617463491050859,0.6076530612244898,0.00982759946914306,2.274862016966049,0.9657632203822896,0.005292146582003565,-0.004795970267011907,0.011224196568415268,4,False,0.5995261422362262,0.01344322344322342
resp,n1000,none,5,104.4,0.6670384956870894,0.6017006802721088,0.0044263362215921,2.3105737329909086,0.941077992768234,0.0,0.0,0.0,0,False,0.5995261422362262,0.01344322344322342
resp,n1000,oracle_correct,5,0.0,0.6642935359411248,0.6017006802721088,0.0,0.0,1.0,0.002744959745964559,-0.0039507112904374475,0.012516667003648684,2,False,0.5995261422362262,0.01344322344322342
resp,n1000,oracle_delete,5,0.0,0.6652199553731594,0.6038265306122449,0.00218156625099042,1.4839287101542575,0.978455892989432,0.0018185403139300061,-3.575939965227981e-06,0.003870423889797392,4,False,0.5995261422362262,0.01344322344322342
resp,n1000,random,5,89.47999999999999,0.6680693988009891,0.6004251700680272,0.0057130689218518205,2.6272007249093825,0.9241222791077981,-0.0010309031138997949,-0.0026235314948922506,-9.610391912255878e-05,0,False,0.5995261422362262,0.01344322344322342
resp,n300,detector,5,30.2,0.6688228284262782,0.5950680272108844,0.00761717470260824,1.864215168856277,0.8797297598962208,0.00464379632101648,0.0037556917316666993,0.006041465418601222,5,True,0.5106505676698505,0.025806451612903198
resp,n300,margin_matched,5,31.0,0.6722999693131764,0.5875850340136055,0.0033520190484168802,1.610801086233716,0.8721370055380471,0.0011666554341182688,0.00023926544434651475,0.0021752476799964393,4,True,0.5106505676698505,0.025806451612903198
resp,n300,matched_clean,5,0.0,0.6717037655415228,0.5914115646258503,0.0022307201073361,0.984369981856449,0.9556077821940944,0.0017628592057719495,0.0014666869685436624,0.0020590314430002365,5,True,0.5106505676698505,0.025806451612903198
resp,n300,none,5,31.0,0.6734666247472946,0.5903911564625851,0.002261433995767563,1.3278502251370328,0.9045063202537378,0.0,0.0,0.0,0,False,0.5106505676698505,0.025806451612903198
resp,n300,oracle_correct,5,0.0,0.6779727491434377,0.5824829931972789,0.0,0.0,1.0,-0.0045061243961431515,-0.007440582827149012,-0.002085533429628894,0,False,0.5106505676698505,0.025806451612903198
