convention,scale,dim,lam,dev_logloss,test_logloss,test_logloss_sd,test_acc,n_pools_below_log2,qualifies,fm_refit_auroc,fm_cleanhead_auroc,n_pools_crossing
cat,n1000,32,0.001,0.6463556612464431,0.6488671300789112,0.0016756187532808442,0.6138969873663751,5,True,0.1325148648758954,0.7426489995141454,3
cat,n300,128,0.001,0.6596743171574918,0.6702960328094582,0.008224554000033432,0.5773566569484936,5,True,0.15011029036186269,0.9155205123318331,5
cat,n3000,32,0.0001,0.6449667025020079,0.6433765624460988,0.0023912435535183053,0.6161321671525753,5,True,0.1585794904927231,0.5815985609789376,2
resp,n1000,32,0.001,0.6514640058624872,0.6587337240821902,0.0025952265486865553,0.6,5,True,0.11780912877971698,0.8503346070362877,4
resp,n300,64,0.01,0.6806248578370974,0.6703308263064491,0.005099181066494453,0.5784013605442178,5,True,0.16958010452333755,0.7836727338259146,5
resp,n3000,32,0.001,0.6535276612279687,0.6526496731719235,0.003553686740506467,0.6076530612244897,5,True,0.12106823847717581,0.7008506864445733,3
