seed,stage,mean_signed_margin_flipped,mean_signed_margin_unflipped,median_signed_margin_flipped,median_signed_margin_unflipped,mean_disagreement_flipped,mean_disagreement_unflipped
0,stage0_pre_attack,1.178782846524809,1.48608294762965,1.2830565356815837,1.3376850093240433,0.0833408128459035,0.06982320158730453
0,stage1_flipped_clean_models,-1.178782846524809,1.48608294762965,-1.2830565356815837,1.3376850093240433,0.562495195238183,0.06982320158730453
0,stage2_poisoned_refit,2.9239415969003457,1.9989531762977777,2.5736254270890235,1.8034164982811571,0.01193535843456314,0.060342684639793615
1,stage0_pre_attack,2.476350631357187,1.1836866013756782,2.4509360842154084,1.083400652151644,0.016325229655556453,0.09049483835210212
1,stage1_flipped_clean_models,-2.476350631357187,1.1836866013756782,-2.4509360842154084,1.083400652151644,0.8118721760907281,0.09049483835210212
1,stage2_poisoned_refit,2.44676616210771,1.1815366033777768,2.160347445413649,0.9509729871342797,0.014686561288628129,0.0917355867456338
2,stage0_pre_attack,2.4645978886109146,1.1822239892852628,2.1328007328983842,1.0259911083046107,0.011938197163196494,0.08933491037510255
2,stage1_flipped_clean_models,-2.4645978886109146,1.1822239892852628,-2.1328007328983842,1.0259911083046107,0.8173082115201097,0.08933491037510255
2,stage2_poisoned_refit,2.2313494170799713,1.1619427983675046,1.9097189060356419,1.092158758119042,0.019069784731318856,0.0944289778760936
3,stage0_pre_attack,1.444354844810172,1.49130306689924,1.2699255554069495,1.3872901675793359,0.06844749325359895,0.06561134507329189
3,stage1_flipped_clean_models,-1.444354844810172,1.49130306689924,-1.2699255554069495,1.3872901675793359,0.621883750219184,0.06561134507329189
3,stage2_poisoned_refit,3.1108267245845385,1.9536827483324342,2.804245957471603,1.7210309288829042,0.010345085211798463,0.05974118434562185
4,stage0_pre_attack,1.2498627322526001,1.3990013318510774,1.199735820732958,1.3325373834987766,0.07875722631070914,0.07066567029253933
4,stage1_flipped_clean_models,-1.2498627322526001,1.3990013318510774,-1.199735820732958,1.3325373834987766,0.5854223198174056,0.07066567029253933
4,stage2_poisoned_refit,3.0366983229363433,1.887148263445093,2.605331533908913,1.6017788281855612,0.009333691046236652,0.06203813732279776
5,stage0_pre_attack,1.3649674529654412,1.4460712188243805,1.356221057088883,1.3835341547667692,0.07694347662690014,0.07111905431086521
5,stage1_flipped_clean_models,-1.3649674529654412,1.4460712188243805,-1.356221057088883,1.3835341547667692,0.6044989229647922,0.07111905431086521
5,stage2_poisoned_refit,2.9686623460802295,1.9274318049059052,2.614596354029779,1.599411617619709,0.00755393049210613,0.06621414423630442
6,stage0_pre_attack,2.559677109891683,1.2634628272267054,2.3330642373137,1.1820341037001345,0.012521524777446539,0.08385884629655535
6,stage1_flipped_clean_models,-2.559677109891683,1.2634628272267054,-2.3330642373137,1.1820341037001345,0.8238675617029074,0.08385884629655535
6,stage2_poisoned_refit,2.273063367975117,1.225697344936204,1.9986848581063292,1.105719458084573,0.018623321704990415,0.08736643652941063
7,stage0_pre_attack,1.170652739714483,1.4549448809677983,1.010963065614027,1.3006441160628035,0.09367255654768689,0.0684142665892606
7,stage1_flipped_clean_models,-1.170652739714483,1.4549448809677983,-1.010963065614027,1.3006441160628035,0.5594454498096948,0.0684142665892606
7,stage2_poisoned_refit,3.0913204334525526,2.0145891872433506,2.5083232221438907,1.7185926171113384,0.011223518192325106,0.059658999706913726
8,stage0_pre_attack,2.725320572988518,1.365311692767552,2.797310124690767,1.2704559446599726,0.011163415427177449,0.07534723460956845
8,stage1_flipped_clean_models,-2.725320572988518,1.365311692767552,-2.797310124690767,1.2704559446599726,0.8464066594538818,0.07534723460956845
8,stage2_poisoned_refit,2.3822115783539215,1.3290424103208136,2.413551611283897,1.2400329799321042,0.018651510298823296,0.07850866457700728
9,stage0_pre_attack,1.3884016708872755,1.4344319095131952,1.332053880451821,1.3047578165043276,0.08655281994909286,0.07027336529857287
9,stage1_flipped_clean_models,-1.3884016708872755,1.4344319095131952,-1.332053880451821,1.3047578165043276,0.5995277436502277,0.07027336529857287
9,stage2_poisoned_refit,3.1067632553605087,1.944138063850425,2.5007081336803134,1.5709337817501732,0.01249573648656415,0.06342559084350557
