k,poisoned_removed,clean_removed,precision_of_removal,acc_unsafe,acc_remediated,acc_matched_clean_cf,acc_full_clean_oracle,acc_gap_remed_minus_matched,pred_disagree_vs_matched,pred_disagree_vs_unsafe,pred_disagree_vs_oracle,theta_dist_to_matched,theta_dist_to_full_oracle,theta_dist_matched_to_full_oracle,holdout_margin_L2_to_matched,holdout_margin_maxabs_to_matched,holdout_prob_L1_to_matched,mcnemar_discordant_b01_b10,mcnemar_p
5,5,0,1.0,0.5777777777777777,0.5666666666666667,0.6222222222222222,0.6,-0.05555555555555558,11,1,11,27.642366434809734,27.10224645102421,4.601433437104644,7.176328860622949,2.361807490994982,0.07813999252805055,8/3,0.2265625
10,9,1,0.9,0.5777777777777777,0.5777777777777777,0.6,0.6,-0.022222222222222254,12,2,12,28.034512002210864,28.055332761851286,7.174701907769729,7.690371663995252,2.463869761092722,0.08313607931399801,7/5,0.7744140625
15,11,4,0.7333333333333333,0.5777777777777777,0.5888888888888889,0.5888888888888889,0.6,0.0,12,3,9,27.834751751549714,28.76503370956147,10.772940767115276,7.882590550931275,2.9379350114767564,0.08563127493543991,6/6,1.0
20,11,9,0.55,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.6,0.0,18,6,14,28.94103543311332,30.864257239607053,12.787196139539251,8.357505088987178,3.1150941933058887,0.09372372688233253,9/9,1.0
26,14,12,0.5384615384615384,0.5777777777777777,0.5222222222222223,0.5777777777777777,0.6,-0.05555555555555547,19,11,19,27.830381444625683,31.190743002931406,18.125182106888975,7.781626785412309,2.528485055041226,0.0900199268890455,12/7,0.359283447265625
35,19,16,0.5428571428571428,0.5777777777777777,0.5555555555555556,0.5888888888888889,0.6,-0.033333333333333326,11,10,16,23.89263281884667,30.506243962750368,22.850471285938518,6.579917647794663,2.2676630667409587,0.0752857679738825,7/4,0.548828125
50,20,30,0.4,0.5777777777777777,0.5444444444444444,0.5444444444444444,0.6,0.0,12,9,13,23.947706554445737,32.779381248185864,26.856895374770684,7.242401143177435,2.621269014946791,0.07365114582561581,6/6,1.0
