stage,component,mean_flipped,mean_unflipped,median_flipped,median_unflipped,ratio_flipped_over_unflipped
stage0_pre_attack,signed_margin_m,1.178782846524809,1.48608294762965,1.2830565356815837,1.3376850093240433,0.7932147047410815
stage0_pre_attack,disagreement_sigma_neg_m_sq,0.0833408128459035,0.06982320158730453,0.04711085488519265,0.043218697514290604,1.1935977003531844
stage0_pre_attack,leverage_zT_Hinv_z,603.4141660030194,626.4899187847883,549.0826838499934,464.86946905597733,0.9631666015847002
stage0_pre_attack,self_influence_product,35.80223626269715,19.07382232301233,29.694649326494535,15.858807787642538,1.8770352190762623
stage1_flipped_clean_models,signed_margin_m,-1.178782846524809,1.48608294762965,-1.2830565356815837,1.3376850093240433,-0.7932147047410815
stage1_flipped_clean_models,disagreement_sigma_neg_m_sq,0.562495195238183,0.06982320158730453,0.6130333333341826,0.043218697514290604,8.0559925991772
stage1_flipped_clean_models,leverage_zT_Hinv_z,603.4141660030194,626.4899187847883,549.0826838499934,464.86946905597733,0.9631666015847002
stage1_flipped_clean_models,self_influence_product,384.44131611349053,19.07382232301233,262.10138667168235,15.858807787642538,20.155441819842626
stage2_poisoned_refit,signed_margin_m,2.9239415969003457,1.9989531762977777,2.5736254270890235,1.8034164982811571,1.4627364120232778
stage2_poisoned_refit,disagreement_sigma_neg_m_sq,0.01193535843456314,0.060342684639793615,0.005020471682172166,0.02000951292895646,0.19779296373387145
stage2_poisoned_refit,leverage_zT_Hinv_z,1178.8459616866335,818.9854904246835,929.8392026242202,523.8706875749831,1.4393978592653027
stage2_poisoned_refit,self_influence_product,6.122350151155637,15.53763556841521,5.596611035786596,11.206977049845921,0.3940335789314756
