stage,detector,auroc,precision_at_budget,recall_at_budget,n_flipped_in_top_26,mean_flipped,mean_unflipped,median_flipped,median_unflipped,q10_flipped,q10_unflipped,q25_flipped,q25_unflipped,q50_flipped,q50_unflipped,q75_flipped,q75_unflipped,q90_flipped,q90_unflipped
stage0_pre_attack,self_influence,0.7156410256410256,0.38461538461538464,0.38461538461538464,10,35.80223626269715,19.07382232301233,29.694649326494535,15.858807787642538,10.934338496844541,2.5283066783001877,16.25027676880193,8.922983658214143,29.694649326494535,15.858807787642538,51.42056442994444,26.565393743652688,72.52326234264466,35.19836600960019
stage0_pre_attack,cross_fit,0.75,0.5384615384615384,0.5384615384615384,14,0.6389666545878742,0.40548077805369387,0.6974628251160128,0.39641704206586864,0.2552362820005221,0.10167170826866868,0.4372125043354772,0.24830509666299627,0.6974628251160128,0.39641704206586864,0.8643906703502701,0.5716672372124376,0.9723287414411329,0.6795835902097216
stage0_pre_attack,training_dynamics,0.5784615384615385,0.19230769230769232,0.19230769230769232,5,-1.178782846524809,-1.48608294762965,-1.2830565356815837,-1.3376850093240433,-1.944079323355758,-2.942011530992607,-1.5300332508809147,-2.018581278336142,-1.2830565356815837,-1.3376850093240433,-0.6378003259842524,-0.7517228974281015,-0.17804506797474948,-0.2556596071857954
stage0_pre_attack,ensemble,0.7033333333333334,0.38461538461538464,0.38461538461538464,10,115.7051282051282,83.78444444444445,126.0,89.83333333333334,60.5,20.233333333333334,82.33333333333334,48.916666666666664,126.0,89.83333333333334,152.5,117.58333333333334,163.5,145.4
stage1_flipped_clean_models,self_influence,0.9928205128205129,0.9615384615384616,0.9615384615384616,25,384.44131611349053,19.07382232301233,262.10138667168235,15.858807787642538,104.13844621339959,2.5283066783001877,193.17583067662525,8.922983658214143,262.10138667168235,15.858807787642538,466.9734412655679,26.565393743652688,777.845229113344,35.19836600960019
stage1_flipped_clean_models,cross_fit,0.4341025641025641,0.15384615384615385,0.15384615384615385,4,0.361033345412126,0.40548077805369387,0.30253717488398724,0.39641704206586864,0.027671258558867096,0.10167170826866868,0.1356093296497299,0.24830509666299627,0.30253717488398724,0.39641704206586864,0.5627874956645228,0.5716672372124376,0.7447637179994779,0.6795835902097216
stage1_flipped_clean_models,training_dynamics,0.9974358974358974,0.9230769230769231,0.9230769230769231,24,1.178782846524809,-1.48608294762965,1.2830565356815837,-1.3376850093240433,0.17804506797474948,-2.942011530992607,0.6378003259842524,-2.018581278336142,1.2830565356815837,-1.3376850093240433,1.5300332508809147,-0.7517228974281015,1.944079323355758,-0.2556596071857954
stage1_flipped_clean_models,ensemble,0.8743589743589744,0.4230769230769231,0.4230769230769231,11,134.7179487179487,80.48888888888888,124.83333333333334,86.0,113.33333333333334,20.96666666666667,116.83333333333334,48.75,124.83333333333334,86.0,152.41666666666666,112.25,164.83333333333331,136.36666666666667
stage2_poisoned_refit,self_influence,0.31666666666666665,0.0,0.0,0,6.122350151155637,15.53763556841521,5.596611035786596,11.206977049845921,0.28490134683479496,0.5114564576979701,0.8916496814680028,3.647534094762804,5.596611035786596,11.206977049845921,10.967870125701939,22.99329802344961,12.649186462460165,35.866499991574855
stage2_poisoned_refit,cross_fit,0.3082051282051282,0.0,0.0,0,0.1680974664721821,0.33185926746400835,0.12213167937318303,0.3412782665145433,0.0164582631603174,0.022123792680943322,0.04581993365836293,0.09235729863486894,0.12213167937318303,0.3412782665145433,0.24626136995426526,0.5112653195490074,0.3871348633919756,0.6593034022139279
stage2_poisoned_refit,training_dynamics,0.2969230769230769,0.0,0.0,0,-2.9239415969003457,-1.9989531762977777,-2.5736254270890235,-1.8034164982811571,-4.264914852557469,-4.22352807751849,-3.594710861696453,-2.5737778951203394,-2.5736254270890235,-1.8034164982811571,-1.9386682310134495,-0.8444140262567749,-1.5005191942561877,-0.41834057492980187
stage2_poisoned_refit,ensemble,0.29205128205128206,0.0,0.0,0,59.58974358974358,93.51111111111112,56.5,105.83333333333334,20.833333333333332,21.3,31.0,51.333333333333336,56.5,105.83333333333334,92.33333333333333,133.58333333333331,100.66666666666666,151.83333333333331
