source_row_id,filtered_local_index,selected_rank,flip_flag,gradient_flip_objective,z_norm,s_clean,s_attacked,s_changed,z_changed,effective_invariant_abs_err,clean_margin,clean_head_margin_after_relabel,poisoned_head_margin,clean_oof_margin_after_relabel,poisoned_oof_margin,clean_oof_margin_pre_attack,stage0_self_influence,stage0_cross_fit,stage0_training_dynamics,stage0_ensemble,stage1_self_influence,stage1_cross_fit,stage1_training_dynamics,stage1_ensemble,stage2_self_influence,stage2_cross_fit,stage2_training_dynamics,stage2_ensemble,stage0_si_disagreement,stage0_si_leverage,stage0_si_product,stage1_si_disagreement,stage1_si_leverage,stage1_si_product,stage2_si_disagreement,stage2_si_leverage,stage2_si_product
61,0,-1,False,-0.08872683930111035,0.3750336057674905,1.0,1.0,False,False,0.0,1.5560407189217145,1.5560407189217145,2.163920842994324,0.8368531571767897,1.8592953614714889,0.8368531571767897,15.205141224089033,0.30219795909870006,-1.5560407189217145,67.33333333333333,15.205141224089033,0.30219795909870006,-1.5560407189217145,66.0,6.71552621451544,0.13478520445094866,-2.163920842994324,63.666666666666664,0.030351044752670288,500.97587572339773,15.205141224089033,0.030351044752670288,500.97587572339773,15.205141224089033,0.010616730454036568,632.5418398431827,6.71552621451544
117,1,-1,False,0.001890220157344725,0.0297990999299663,1.0,1.0,False,False,0.0,0.11605771721282263,0.11605771721282263,0.1109959744213876,0.09097405276328992,0.07300936677720513,0.09097405276328992,1.2934161552321852,0.47727215980824056,-0.11605771721282263,91.33333333333333,1.2934161552321852,0.47727215980824056,-0.11605771721282263,86.66666666666667,1.396567703810018,0.4817557616273137,-0.1109959744213876,111.33333333333333,0.22185804498976916,5.829926768226188,1.2934161552321852,0.22185804498976916,5.829926768226188,1.2934161552321852,0.22304788885929572,6.261290841855977,1.396567703810018
265,2,-1,False,-0.013923678532879142,0.34164723010619197,1.0,1.0,False,False,0.0,1.0195315588831517,1.0195315588831517,1.118646100548106,-0.8656347000121796,-0.36936080072167743,-0.8656347000121796,32.17187104410724,0.7038365587490725,-1.0195315588831517,137.0,32.17187104410724,0.7038365587490725,-1.0195315588831517,130.33333333333334,29.23368098174185,0.5913045163273232,-1.118646100548106,143.33333333333334,0.07028790241005789,457.7156230444514,32.17187104410724,0.07028790241005789,457.7156230444514,32.17187104410724,0.060645221047575616,482.0442646059167,29.23368098174185
173,3,-1,False,0.0037759537023144816,0.0364061933415869,1.0,1.0,False,False,0.0,0.11854514716061919,0.11854514716061919,0.012233418421847471,0.14688144378879936,0.014094677171575254,0.14688144378879936,2.0003087659921084,0.4633455145097223,-0.11854514716061919,90.0,2.0003087659921084,0.4633455145097223,-0.11854514716061919,85.0,2.376467997066373,0.49647638904027036,-0.012233418421847471,115.33333333333333,0.22127462739154188,9.039937337472471,2.0003087659921084,0.22127462739154188,9.039937337472471,2.0003087659921084,0.24695103683545597,9.623235551142143,2.376467997066373
212,4,-1,False,0.013702095967647585,0.5041835412477769,1.0,1.0,False,False,0.0,0.4539888670313055,0.4539888670313055,0.7373027531758635,-2.5310915102326894,-2.782855732631258,-2.5310915102326894,77.24679991753345,0.9262929102384238,-0.4539888670313055,165.0,77.24679991753345,0.9262929102384238,-0.4539888670313055,151.66666666666666,58.505682134741484,0.9417423183744651,-0.7373027531758635,163.66666666666666,0.1508645007132118,512.0276775009977,77.24679991753345,0.1508645007132118,512.0276775009977,77.24679991753345,0.1047132313410339,558.7229176817018,58.505682134741484
126,5,-1,False,-0.009790598362654016,0.11051335756840884,1.0,1.0,False,False,0.0,-0.35032212885286973,-0.35032212885286973,-0.014033323534301853,-0.5149890713156804,-0.10412595089110883,-0.5149890713156804,24.818192207239456,0.6259752990348184,0.35032212885286973,143.0,24.818192207239456,0.6259752990348184,0.35032212885286973,135.33333333333334,19.425688022221767,0.5260079932829977,0.014033323534301853,147.66666666666666,0.3442118351812896,72.10150747480313,24.818192207239456,0.3442118351812896,72.10150747480313,24.818192207239456,0.25352058129046656,76.62371206054131,19.425688022221767
160,6,16,True,0.0750286919274757,0.43343461597542515,1.0,-1.0,True,False,0.0,1.2962564423436667,-1.2962564423436667,2.1078285168074715,1.182229970142927,2.243460001253686,-1.182229970142927,26.9875007890023,0.765348521409703,-1.2962564423436667,125.33333333333333,360.64233656264156,0.234651478590297,1.2962564423436667,124.66666666666667,9.365354147974662,0.09591508660076586,-2.1078285168074715,71.0,0.046137203790882673,584.9401041147489,26.9875007890023,0.6165457523355137,584.9401041147489,360.64233656264156,0.011737177722799287,797.9221554925086,9.365354147974662
13,7,-1,False,-0.15376311004070248,0.36170243735393365,1.0,1.0,False,False,0.0,2.6541533761087317,2.6541533761087317,4.326839759394599,1.999469774067531,3.656179283309151,1.999469774067531,2.434541831245582,0.11925860358511686,-2.6541533761087317,19.333333333333332,2.434541831245582,0.11925860358511686,-2.6541533761087317,20.666666666666668,0.1322984611897736,0.02518057749070124,-4.326839759394599,17.0,0.004320890312160179,563.4352310203545,2.434541831245582,0.004320890312160179,563.4352310203545,2.434541831245582,0.0001699638129680406,778.3919346093426,0.1322984611897736
219,8,-1,False,0.013984096019670537,0.5805207345976164,1.0,1.0,False,False,0.0,3.1431171227956094,3.1431171227956094,2.5113781428942676,2.719093013862287,2.009002076620728,2.719093013862287,2.771416191787599,0.06185607767059975,-3.1431171227956094,13.666666666666666,2.771416191787599,0.06185607767059975,-3.1431171227956094,14.0,7.331027849941262,0.11826099696817127,-2.5113781428942676,59.666666666666664,0.001710925978548481,1619.8340702844544,2.771416191787599,0.001710925978548481,1619.8340702844544,2.771416191787599,0.005634659548693864,1301.0595913715183,7.331027849941262
295,9,-1,False,0.0057403935621788416,0.21134152040070797,1.0,1.0,False,False,0.0,0.6270764973400154,0.6270764973400154,0.6990257973056171,-0.594836723233848,-0.23164836019403579,-0.594836723233848,26.770910918518073,0.6444741434370329,-0.6270764973400154,135.33333333333334,26.770910918518073,0.6444741434370329,-0.6270764973400154,129.0,25.883141495527976,0.5576545039828368,-0.6990257973056171,147.66666666666666,0.1212249451059181,220.83665119524267,26.770910918518073,0.1212249451059181,220.83665119524267,26.770910918518073,0.1102427631073677,234.78313465637513,25.883141495527976
