seed,alpha,detector,auroc
0,0.0,self_influence,0.5089743589743589
0,0.0,cross_fit,0.6187179487179487
0,0.0,training_dynamics,0.28384615384615386
0,0.25,self_influence,0.6305128205128205
0,0.25,cross_fit,0.6282051282051282
0,0.25,training_dynamics,0.45
0,0.5,self_influence,0.6346153846153846
0,0.5,cross_fit,0.6366666666666667
0,0.5,training_dynamics,0.5276923076923077
0,0.75,self_influence,0.6715384615384615
0,0.75,cross_fit,0.5817948717948718
0,0.75,training_dynamics,0.6471794871794871
0,1.0,self_influence,0.4828205128205128
0,1.0,cross_fit,0.6328205128205128
0,1.0,training_dynamics,0.8146153846153846
1,0.0,self_influence,0.5022924095771778
1,0.0,cross_fit,0.5855832908813041
1,0.0,training_dynamics,0.25063678043810494
1,0.25,self_influence,0.5876209882832399
1,0.25,cross_fit,0.5848191543555782
1,0.25,training_dynamics,0.38588894549159447
1,0.5,self_influence,0.6569026999490576
1,0.5,cross_fit,0.6176770249617932
1,0.5,training_dynamics,0.5634233316352522
1,0.75,self_influence,0.652317880794702
1,0.75,cross_fit,0.5850738665308202
1,0.75,training_dynamics,0.6917982679572083
1,1.0,self_influence,0.4108507386653082
1,1.0,cross_fit,0.609016811003566
1,1.0,training_dynamics,0.8028527763627101
2,0.0,self_influence,0.504236262406197
2,0.0,cross_fit,0.5962236746550472
2,0.0,training_dynamics,0.2844347615589446
2,0.25,self_influence,0.5112563543936093
2,0.25,cross_fit,0.48946986201888165
2,0.25,training_dynamics,0.3403534253207456
2,0.5,self_influence,0.6247881868796902
2,0.5,cross_fit,0.5908980876301138
2,0.5,training_dynamics,0.5020576131687243
2,0.75,self_influence,0.6715081094166061
2,0.75,cross_fit,0.6013071895424836
2,0.75,training_dynamics,0.6857903655289276
2,1.0,self_influence,0.4442023723069475
2,1.0,cross_fit,0.5899297990801259
2,1.0,training_dynamics,0.8213507625272332
3,0.0,self_influence,0.598160251755023
3,0.0,cross_fit,0.6702977487291213
3,0.0,training_dynamics,0.3756959573953038
3,0.25,self_influence,0.5843621399176955
3,0.25,cross_fit,0.6458484628419269
3,0.25,training_dynamics,0.40038731541999517
3,0.5,self_influence,0.6385862987170177
3,0.5,cross_fit,0.6063907044299202
3,0.5,training_dynamics,0.5536189784555797
3,0.75,self_influence,0.682885499878964
3,0.75,cross_fit,0.6279351246671508
3,0.75,training_dynamics,0.6419753086419753
3,1.0,self_influence,0.5318324860808521
3,1.0,cross_fit,0.6194625998547567
3,1.0,training_dynamics,0.8344226579520697
