seed,stage,detector,auroc,precision_at_budget,mean_flipped,mean_unflipped
0,stage0_pre_attack,self_influence,0.7156410256410256,0.38461538461538464,35.80223626269715,19.07382232301233
0,stage0_pre_attack,training_dynamics,0.5784615384615385,0.19230769230769232,-1.178782846524809,-1.48608294762965
0,stage0_pre_attack,cross_fit,0.75,0.5384615384615384,0.6389666545878742,0.40548077805369387
0,stage0_pre_attack,ensemble,0.7033333333333334,0.38461538461538464,115.7051282051282,83.78444444444445
0,stage1_flipped_clean_models,self_influence,0.9928205128205129,0.9615384615384616,384.44131611349053,19.07382232301233
0,stage1_flipped_clean_models,training_dynamics,0.9974358974358974,0.9230769230769231,1.178782846524809,-1.48608294762965
0,stage1_flipped_clean_models,cross_fit,0.4341025641025641,0.15384615384615385,0.361033345412126,0.40548077805369387
0,stage1_flipped_clean_models,ensemble,0.8743589743589744,0.4230769230769231,134.7179487179487,80.48888888888888
0,stage2_poisoned_refit,self_influence,0.31666666666666665,0.0,6.122350151155637,15.53763556841521
0,stage2_poisoned_refit,training_dynamics,0.2969230769230769,0.0,-2.9239415969003457,-1.9989531762977777
0,stage2_poisoned_refit,cross_fit,0.3082051282051282,0.0,0.1680974664721821,0.33185926746400835
0,stage2_poisoned_refit,ensemble,0.29205128205128206,0.0,59.58974358974358,93.51111111111112
1,stage0_pre_attack,self_influence,0.25802343352012225,0.07692307692307693,11.509551629789412,24.094771188681296
1,stage0_pre_attack,training_dynamics,0.1543555781966378,0.0,-2.476350631357187,-1.1836866013756782
1,stage0_pre_attack,cross_fit,0.2674477840040754,0.07692307692307693,0.27712469434304265,0.472601243892983
1,stage0_pre_attack,ensemble,0.2119205298013245,0.07692307692307693,47.717948717948715,96.10816777041941
1,stage1_flipped_clean_models,self_influence,1.0,1.0,1041.6470390801328,24.094771188681296
1,stage1_flipped_clean_models,training_dynamics,1.0,1.0,2.476350631357187,-1.1836866013756782
1,stage1_flipped_clean_models,cross_fit,0.7682119205298014,0.5,0.7228753056569575,0.472601243892983
1,stage1_flipped_clean_models,ensemble,0.9560621497707591,0.7692307692307693,152.83333333333334,78.00883002207506
1,stage2_poisoned_refit,self_influence,0.2618441161487519,0.0,11.005525708561512,23.163104666380015
1,stage2_poisoned_refit,training_dynamics,0.16250636780438105,0.0,-2.44676616210771,-1.1815366033777768
1,stage2_poisoned_refit,cross_fit,0.31558838512480897,0.07692307692307693,0.3243958163885514,0.4616596785830158
1,stage2_poisoned_refit,ensemble,0.21790626591951096,0.0,50.74358974358975,95.58719646799116
2,stage0_pre_attack,self_influence,0.19849915274751875,0.0,9.35483513090842,25.148029768650513
2,stage0_pre_attack,training_dynamics,0.14040183974824497,0.0,-2.4645978886109146,-1.1822239892852628
2,stage0_pre_attack,cross_fit,0.18010167029774873,0.0,0.2129410559151467,0.4839235856469378
2,stage0_pre_attack,ensemble,0.144880174291939,0.0,40.46913580246914,99.32897603485839
2,stage1_flipped_clean_models,self_influence,1.0,1.0,882.0583531642471,25.148029768650513
2,stage1_flipped_clean_models,training_dynamics,1.0,1.0,2.4645978886109146,-1.1822239892852628
2,stage1_flipped_clean_models,cross_fit,0.8361171629145485,0.5185185185185185,0.7870589440848533,0.4839235856469378
2,stage1_flipped_clean_models,ensemble,0.9774872912127814,0.8518518518518519,158.641975308642,78.47494553376906
2,stage2_poisoned_refit,self_influence,0.25393367223432584,0.037037037037037035,12.39214331459876,26.439357310779805
2,stage2_poisoned_refit,training_dynamics,0.1803437424352457,0.0,-2.2313494170799713,-1.1619427983675046
2,stage2_poisoned_refit,cross_fit,0.2786250302590172,0.07407407407407407,0.3143364270040318,0.4895528208767609
2,stage2_poisoned_refit,ensemble,0.21822803195352214,0.0,50.358024691358025,97.58387799564271
3,stage0_pre_attack,self_influence,0.6407649479544905,0.3333333333333333,28.24609236854783,19.600209164566976
3,stage0_pre_attack,training_dynamics,0.5083514887436456,0.1111111111111111,-1.444354844810172,-1.49130306689924
3,stage0_pre_attack,cross_fit,0.6698136044541273,0.37037037037037035,0.5507624809618078,0.3992029429772761
3,stage0_pre_attack,ensemble,0.6218833212297264,0.3333333333333333,106.76543209876543,87.62962962962962
3,stage1_flipped_clean_models,self_influence,0.990559186637618,0.9259259259259259,536.4995311675941,19.600209164566976
3,stage1_flipped_clean_models,training_dynamics,0.9937061244250787,0.9259259259259259,1.444354844810172,-1.49130306689924
3,stage1_flipped_clean_models,cross_fit,0.5405470830307432,0.2222222222222222,0.4492375190381922,0.3992029429772761
3,stage1_flipped_clean_models,ensemble,0.8925199709513435,0.5555555555555556,142.76543209876544,81.27668845315904
3,stage2_poisoned_refit,self_influence,0.28854998789639313,0.0,6.345076916978558,16.71181208332648
3,stage2_poisoned_refit,training_dynamics,0.271362866134108,0.0,-3.1108267245845385,-1.9536827483324342
3,stage2_poisoned_refit,cross_fit,0.2783829581215202,0.0,0.1572882449988498,0.342108943271351
3,stage2_poisoned_refit,ensemble,0.2726942628903413,0.0,56.75308641975308,96.45533769063182
4,stage0_pre_attack,self_influence,0.6873219373219374,0.37037037037037035,35.15382434905351,19.8721779838134
4,stage0_pre_attack,training_dynamics,0.5311016144349477,0.18518518518518517,-1.2498627322526001,-1.3990013318510774
4,stage0_pre_attack,cross_fit,0.7110636277302944,0.4074074074074074,0.6007705014902583,0.4090594998997887
4,stage0_pre_attack,ensemble,0.6593067426400759,0.37037037037037035,114.33333333333333,88.13461538461539
4,stage1_flipped_clean_models,self_influence,0.9952516619183286,0.9629629629629629,433.72679391470126,19.8721779838134
